,title,projectUrl,acronym
18,Interactive regulation of phytoplankton succession by physical forcing and internal phosphorus loading: a comparative study in eutrophic freshwater lakes,http://phyto-online.ocean.org.il/,PHYTOPLANKTON-ON-LIN
23,Total service for the machine tool end user,http://smart.fatronik.com,SMART
43,Exon trapping insert consortium,http://www.jic.bbsrc.ac.uk/science/cdb/exotic/,EXOTIC
63,Slagging and fouling prediction by dynamic boiler modelling (slagmod),http://www.eu-projects.de/slagmod,SLAGMOD
75,Wind energy mapping using synthetic aperture radar ('WEMSAR'),http://www.nrsc.no/WEMSAR,WEMSAR
77,New econometric model for environment and strategies implementation for sustainable development,http://www.nemesis-model.org/about/nemesis.stm,NEMESIS
78,Toward an analytical strategic environmental assesment methodology,http://www.taugroup.com/ansea/,ANSEA
80,"European mountain lake ecosystems: regionalisation, diagnostics & socio-economic evaluation",http://195.113.58.10/index.html,EMERGE
85,Mechanisms and predictability of decadal fluctuations in atlantic-european climate,http://ugamp.nerc.ac.uk/predicate/,PREDICATE
88,"Design and testing of dna microarrays to monitor microbial diversity with adequate biodiversity indexes, using cyanobacteria in freshwater as a model system",http://www.ulg.ac.be/cingprot/midichip/index.htm,MIDI-CHIP
104,"Lead potential of marine microorganisms from coastal, shelf and deep sea sediments, a comparative assessment for optimized search strategies",http://www.tu-berlin.de/fb10/MAT/micromar/,MICROMAR
105,Deep-sea hydrothermal vents: a natural pollution laboratory,http://www.soc.soton.ac.uk/ventox/files/main/home.html,VENTOX
106,Development and field validation of biosensor methods for the assessment of the effects of pollution and solar uv radiation on commercially and ecologically important marine invertebrates.,http://www.uni-mainz.de/,UVTOX
107,Continental slope stability,http://www.costa-europe.org/,COSTA
108,Atlantic coral ecosystem study,http://www.geol.uni-erlangen.de/pal/,ACES
109,Cycling of phosphorus in the mediterranean,http://www.earth.leeds.ac.uk/cyclops/index.html,CYCLOPS
110,Stratigraphical development of the glaciated european margin,http://www.stratagem-europe.org/main.asp,STRATAGEM
111,The influence of uvr and climate conditions on fish stocks : a case study of the northeast arctic cod,http://phaeocystis.nfh.uit.no/uvac/,UVAC
112,Marine effects of atmospheric deposition,http://www.uea.ac.uk/env/mead,MEAD
113,Biological control of harmful algal blooms in european coastal waters: role of eutrophication.,http://www.nioz.nl/projects/biohab/index.html,BIOHAB
114,Development and assessment of new techniques and approaches for detecting deep sub-seafloor bacteria and their interaction with geosphere processes,http://www.chm.bris.ac.uk/deepbug/,DEEP BUG
115,Estimation of primary production for fisheries management,http://www.nersc.no/~proof/,PROOF
116,Monitoring biodiversity of pico-phytoplankton in marine waters,http://www.sb-roscoff.fr/Phyto/PICODIV/index.html,PICODIV
117,Procedures for recommending optimal sustainable planning of european city transport systems,http://www ivv.tuwien.ac.at/projects/prospects.html,PROSPECTS
118,Planning and research of policies for land use and transport for increasing urban sustainability,http://www.ltcon.fi/propolis,PROPOLIS
119,"Development of instruments for labelling, benchmarking and tqm for (energy-) efficient communities",http://www.communal-labels.de,COMMUNAL LABELS
120,"Eco-efficient urban management and new models of urban governance: the evaluation of l a 21 in european local authorities through ""concerted self assessment""",http://www.iclei.org/europe/lasala/index.html,LASALA
121,Developing stress-monitoring sites and infrastructure for forecasting earthquakes,http://www.smsites.org,SMSITES
122,A european aerosol research lidar network to establish an aerosol climatology,http://www.iap-kborn.de/optik/aer_trop/earlinet/EARLINET.htm,EARLINET
130,Character preservation and modelling in aesthetic and engineering design (FIORES-II),http://www.fiores.com,FIORES-II
134,"Intelligent monitoring, diagnostics and maintenance system in flexible production",http://www.bmtech.co.uk/intell-diag/index.html,INTELL-DIAG
135,Improving performance and life-cycle cost of machine tools through advanced materials (PRIMA),http://meca.iuta.u-bordeaux.fr/ukindex.htm,PRIMA
142,Active disassembly using smart materials (ADSM),http://www.brunel.ac.uk/research/adsm,ADSM
180,New surface modified flame retarded polymeric systems to improve safety in transportation and other areas (FLAMERET),http://www.bme.hu/flameret/,FLAMERET
189,Functional oxide structures for advanced microwave systems (FOAMS),http://www.eeie.sbu.ac.uk/research/pem/Foams%20SUMMARY%20OF%20OUTPUTS.htm,FOAMS
199,First article tomography inspection methodology advancement,http://www.eufatima.ch,FATIMA
239,Conjugated linoleic acid (cla) in functional food: a potential benefit for overweight middle-aged europeans,http://www.dijon.inra.fr/funcla,FUNCLA
253,Pesticides in european groundwaters : detailed study of representative aquifers and simulation of possible evolution scenarios,http://www.brgm.fr/pegase/,PEGASE
254,"Predicting aquatic ecosystem quality using artificial neural networks: impact of environmental characteristics on the structure of aquatic communities (algae, benthic and fish fauna).",http://aquaeco.ups-tlse.fr/,PAEQANN
255,Systems approach to environmentally acceptable farming,http://www.bordeaux.cemagref.fr/adbx/agribmpwater/,AGRIBMPWATER
256,"Afforestation management in north-western europe - influence on nitrogen leaching, groundwater recharge, and carbon sequestration",http://www.fsl.dk/afforest/,AFFOREST
263,Geneticists for the next millenium,http://www.tymri.ut.ee/index1.html,
264,Reduction of negative impact of environmental factors on human health,http://nic.savba.sk/sav/inst/ueen/ce.htm,
265,Molecular biotechnology - integration of education and research,http://www.mol.uj.edu.pl/bier.htm,
266,Advanced research centre for cultural heritage interdisciplinary projects,http://www.arcchip.cz/#About,
267,Hermes: a center of excellence on computational finance and economics,http://www.hermes.ucy.ac.cy,
268,"Regional initiative for improvement of quality of life through research, education, and innovation in molecular cell biology",http://www.szbk.u-szeged.hu/bioregion.html,
271,"Sustainability labelling and certification: toward an integrated legal, economic, ecological and social aproach. (SUSTAINABILITY LABELLING)",http://www.ub.es/dinter/label.htm,SUSTAINABILITY LABEL
272,Photocatalytic destruction of cyanotoxins and pathogens in potable (drinking) water (photox),http://www2.rgu.ac.uk/subj/mes/cee/main/photoxfront.htm,PHOTOX
273,Potable water distribution management,http://www.ncl.ac.uk/powadima/,POWADIMA
284,Heterocyclic amines in cooked foods - role in human health,http://www.cis.tugraz.at/ilct/hca/hca.html,HC AMINES
