title,projectUrl,acronym,return_code,redirect_url
Interactive regulation of phytoplankton succession by physical forcing and internal phosphorus loading: a comparative study in eutrophic freshwater lakes,http://phyto-online.ocean.org.il/,PHYTOPLANKTON-ON-LIN,200.0,
Total service for the machine tool end user,http://smart.fatronik.com,SMART,[Errno -2] Name or service not known,
Exon trapping insert consortium,http://www.jic.bbsrc.ac.uk/science/cdb/exotic/,EXOTIC,404,
Slagging and fouling prediction by dynamic boiler modelling (slagmod),http://www.eu-projects.de/slagmod,SLAGMOD,404,
Wind energy mapping using synthetic aperture radar ('WEMSAR'),http://www.nrsc.no/WEMSAR,WEMSAR,[Errno -2] Name or service not known,
New econometric model for environment and strategies implementation for sustainable development,http://www.nemesis-model.org/about/nemesis.stm,NEMESIS,[Errno -2] Name or service not known,
Toward an analytical strategic environmental assesment methodology,http://www.taugroup.com/ansea/,ANSEA,406,
"European mountain lake ecosystems: regionalisation, diagnostics & socio-economic evaluation",http://195.113.58.10/index.html,EMERGE,timed out,
Mechanisms and predictability of decadal fluctuations in atlantic-european climate,http://ugamp.nerc.ac.uk/predicate/,PREDICATE,200,
"Design and testing of dna microarrays to monitor microbial diversity with adequate biodiversity indexes, using cyanobacteria in freshwater as a model system",http://www.ulg.ac.be/cingprot/midichip/index.htm,MIDI-CHIP,301,http://www.cip.ulg.ac.be/newsite/index.php
"Lead potential of marine microorganisms from coastal, shelf and deep sea sediments, a comparative assessment for optimized search strategies",http://www.tu-berlin.de/fb10/MAT/micromar/,MICROMAR,404,
Deep-sea hydrothermal vents: a natural pollution laboratory,http://www.soc.soton.ac.uk/ventox/files/main/home.html,VENTOX,404,
Development and field validation of biosensor methods for the assessment of the effects of pollution and solar uv radiation on commercially and ecologically important marine invertebrates.,http://www.uni-mainz.de/,UVTOX,200,
Continental slope stability,http://www.costa-europe.org/,COSTA,[Errno -2] Name or service not known,
Atlantic coral ecosystem study,http://www.geol.uni-erlangen.de/pal/,ACES,timed out,
Cycling of phosphorus in the mediterranean,http://www.earth.leeds.ac.uk/cyclops/index.html,CYCLOPS,200,
Stratigraphical development of the glaciated european margin,http://www.stratagem-europe.org/main.asp,STRATAGEM,[Errno -2] Name or service not known,
The influence of uvr and climate conditions on fish stocks : a case study of the northeast arctic cod,http://phaeocystis.nfh.uit.no/uvac/,UVAC,timed out,
Marine effects of atmospheric deposition,http://www.uea.ac.uk/env/mead,MEAD,404,
Biological control of harmful algal blooms in european coastal waters: role of eutrophication.,http://www.nioz.nl/projects/biohab/index.html,BIOHAB,404,
Development and assessment of new techniques and approaches for detecting deep sub-seafloor bacteria and their interaction with geosphere processes,http://www.chm.bris.ac.uk/deepbug/,DEEP BUG,404,
Estimation of primary production for fisheries management,http://www.nersc.no/~proof/,PROOF,404,
Monitoring biodiversity of pico-phytoplankton in marine waters,http://www.sb-roscoff.fr/Phyto/PICODIV/index.html,PICODIV,404,
Procedures for recommending optimal sustainable planning of european city transport systems,http://www ivv.tuwien.ac.at/projects/prospects.html,PROSPECTS,[Errno -2] Name or service not known,
Planning and research of policies for land use and transport for increasing urban sustainability,http://www.ltcon.fi/propolis,PROPOLIS,timed out,
"Development of instruments for labelling, benchmarking and tqm for (energy-) efficient communities",http://www.communal-labels.de,COMMUNAL LABELS,[Errno -2] Name or service not known,
"Eco-efficient urban management and new models of urban governance: the evaluation of l a 21 in european local authorities through ""concerted self assessment""",http://www.iclei.org/europe/lasala/index.html,LASALA,404,
Developing stress-monitoring sites and infrastructure for forecasting earthquakes,http://www.smsites.org,SMSITES,[Errno -2] Name or service not known,
A european aerosol research lidar network to establish an aerosol climatology,http://www.iap-kborn.de/optik/aer_trop/earlinet/EARLINET.htm,EARLINET,404,
Character preservation and modelling in aesthetic and engineering design (FIORES-II),http://www.fiores.com,FIORES-II,200,
"Intelligent monitoring, diagnostics and maintenance system in flexible production",http://www.bmtech.co.uk/intell-diag/index.html,INTELL-DIAG,[Errno -2] Name or service not known,
Improving performance and life-cycle cost of machine tools through advanced materials (PRIMA),http://meca.iuta.u-bordeaux.fr/ukindex.htm,PRIMA,[Errno -2] Name or service not known,
Active disassembly using smart materials (ADSM),http://www.brunel.ac.uk/research/adsm,ADSM,404,
New surface modified flame retarded polymeric systems to improve safety in transportation and other areas (FLAMERET),http://www.bme.hu/flameret/,FLAMERET,404,
Functional oxide structures for advanced microwave systems (FOAMS),http://www.eeie.sbu.ac.uk/research/pem/Foams%20SUMMARY%20OF%20OUTPUTS.htm,FOAMS,[Errno -2] Name or service not known,
First article tomography inspection methodology advancement,http://www.eufatima.ch,FATIMA,[Errno -2] Name or service not known,
Conjugated linoleic acid (cla) in functional food: a potential benefit for overweight middle-aged europeans,http://www.dijon.inra.fr/funcla,FUNCLA,302,http://www.dijon.inra.fr/infos/404
Pesticides in european groundwaters : detailed study of representative aquifers and simulation of possible evolution scenarios,http://www.brgm.fr/pegase/,PEGASE,200,
"Predicting aquatic ecosystem quality using artificial neural networks: impact of environmental characteristics on the structure of aquatic communities (algae, benthic and fish fauna).",http://aquaeco.ups-tlse.fr/,PAEQANN,[Errno -2] Name or service not known,
Systems approach to environmentally acceptable farming,http://www.bordeaux.cemagref.fr/adbx/agribmpwater/,AGRIBMPWATER,timed out,
"Afforestation management in north-western europe - influence on nitrogen leaching, groundwater recharge, and carbon sequestration",http://www.fsl.dk/afforest/,AFFOREST,404,
Geneticists for the next millenium,http://www.tymri.ut.ee/index1.html,,404,
Reduction of negative impact of environmental factors on human health,http://nic.savba.sk/sav/inst/ueen/ce.htm,,[Errno -2] Name or service not known,
Molecular biotechnology - integration of education and research,http://www.mol.uj.edu.pl/bier.htm,,404,
Advanced research centre for cultural heritage interdisciplinary projects,http://www.arcchip.cz/#About,,200,
Hermes: a center of excellence on computational finance and economics,http://www.hermes.ucy.ac.cy,,302,http://ucy.ac.cy/hermes/el/
"Regional initiative for improvement of quality of life through research, education, and innovation in molecular cell biology",http://www.szbk.u-szeged.hu/bioregion.html,,404,
"Sustainability labelling and certification: toward an integrated legal, economic, ecological and social aproach. (SUSTAINABILITY LABELLING)",http://www.ub.es/dinter/label.htm,SUSTAINABILITY LABEL,404,
Photocatalytic destruction of cyanotoxins and pathogens in potable (drinking) water (photox),http://www2.rgu.ac.uk/subj/mes/cee/main/photoxfront.htm,PHOTOX,301,http://www4.rgu.ac.uk/cree/general/page.cfm?CFID=77519028&CFTOKEN=41787059&jsessionid=5031231a90c371a8246e253d716d6a412250TR
Potable water distribution management,http://www.ncl.ac.uk/powadima/,POWADIMA,404,
Heterocyclic amines in cooked foods - role in human health,http://www.cis.tugraz.at/ilct/hca/hca.html,HC AMINES,301,http://www.foodscience.tugraz.at/
Comparative analysis of manufacturing technologies in goldsmithing and silversmithing from the vii to the i centuty b.c in the mediterranean area,http://www.ejtn.org,,200,
European network on safety assessment of genetically modified food crops,http://www.entransfood.com,ENTRANSFOOD,200,
Evaluating the Performance of an Object oriented Modelling bAsed on interneT,http://www.epomat.com,EPOMAT,200,
3D Measurement and Virtual Reconstruction of Ancient Lost Worlds of Europe,http://dea.brunel.ac.uk/project/murale/,3D-MURALE,404,
Web Technologies Supporting Direct Participation in Democratic Processes,http://www.webocrat.org,WEBOCRACY,[Errno 8] _ssl.c:510: EOF occurred in violation of protocol,
High pressure: a competitive method for the advancement of multi-disciplinary research and industrial applications,http://www.unipress.waw.pl,,200,
Physics and fabrication of low dimensional structures for technologies of future generations,http://info.ifpan.edu.pl/celdis/,,200,
Centre of exellence for deltas and wetlands,http://www.indd.tim.ro/Excelenta/Centru.htm,,[Errno -2] Name or service not known,
Kfki-condensed matter research centre,http://www.kfki.hu/~cmrc,,403,
Engineering of the cellular quality control systems in bacillus subtilis for the production of high value-added proteins,http://www.ncl.ac.uk/ebsg,BACELL FACTORY,404,
Policies for ecological tax reform: analysis of social responses,http://www.soc.surrey.ac.uk/petras/,PETRAS,404,
Developing effective and efficient product information schemes. assessing and expanding product information schemes between voluntary and mandatory approaches.,http://w3.uniroma1.it/deep/intro.htm,DEEP,400,
An european flood forecasting system,http://effs.wldelft.nl,EFFS,[Errno -2] Name or service not known,
Strategic integrated assessment of dynamic carbon emission reduction policies,http://www.pik-potsdam.de/dept/soc/siadcero/welcome.html,SIADCERO,404,
Development of a european multi-model ensemble system for seasonal to interannual prediction,http://www.ecmwf.int/research/demeter,DEMETER,404,
Environmental controls on mound formation along the european margin,http://www.geomar.de/projekte/ecomound/ecomoundstart/,ECOMOUND,200,
The mound factory - internal controls,http://geomound.ucd.ie/,GEOMOUND,timed out,
New means to promote pedestrian traffic in cities,http://www.vtt.fi/yki/yki4/prompt.htm,PROMPT,404,
Promoting action for sustainability through indicators at the local level in europe,http://www.lse.ac.uk/Depts/geography/Pastille,PASTILLE,404,
"Transport planning, land use and sustainability",http://www.isis-it.com/transplus.htm,TRANSPLUS,404,
Indicators system to assess new urban services. improving decision making through evaluation.,http://www.project-ianus.org/,IANUS,Server Error,
Sensor array for fast explosion proof gas monitoring (SAFEGAS),http://www.nmrc.ie/projects/safegas/,SAFEGAS,200,
Dry stamping and dry machining of difficult to-cut materials by means of superhard nanocomposite coatings (NACODRY),http://www.nacodry.com,NACODRY,[Errno -2] Name or service not known,
Synbiotics and cancer prevention in humans,http://www.syncan.be,SYNCAN,200,
Virus safe seafood,http://www.ifremer.fr/vsseafood/,V-S SEAFOOD,404,
"The role of social, genetic and environmental factors in healthy eating: a multicentre analysis of eating disorders and obesity",http://www.eatingresearch.com,FACTORS IN HEALTHY E,403,
Socio-economic evaluation of public rtd policies,http://epub.jrc.es/,EPUB,[Errno -2] Name or service not known,
"Development of a standard method (protocol) for the measurement of organic contaminants ""tars"" in biomass producer gases",http://www.tarweb.net,TAR PROTOCOL,200,
New policy rationales for the support of public research in the eu,http://www.researchineurope.org/,NPRNET,200,
Foresight for regional development network,http://foren.jrc.es/,FOREN,[Errno -2] Name or service not known,
Propagation of european pines via somatic embryogenesis,http://www.vbsg.slu.se/sep/,SEP,301,http://www.slu.se/sv/404/
Key nutrient transport mechanisms important for the prediction of nutrient and p¿hytoplankton concentrations in european standing waters,http://www.tcd.ie/Zoology/Project.BUFFER/homepage.html,BUFFER,404,
Passive in-situ remediation of acidic mine / industrial drainage,http://www.piramid.org/,PIRAMID,200,
Data assimilation within a unifying modeling framework for improved river basin water resources management,http://www.dow.wau.nl/whh/daufin/,DAUFIN,[Errno -2] Name or service not known,
Molecular tools for assessing the bioremediation potential in organohalogen-contaminated sites,http://mik.gbf.de/maroc/index.html,MAROC,[Errno -2] Name or service not known,
Prediction Of Software Error Rates Based On Test And Software Maturity Results,http://www.ist-pets.com,PETS,[Errno -2] Name or service not known,
Improved Frontal Impact Protection through a World Frontal Impact Dummy,http://www.wt.tno.nl/FID,FID,[Errno -2] Name or service not known,
Evaluation of networking and innovation diffusion as mechanisms for sustainable production,http://www.ctc-cork.ie/INNET,INNET,404,
"Systematic, palaeoflood and historical data for the improvement of flood risk estimation",http://www.ccma.csic.es/dpts/suelos/hidro/sphere/index.html,SPHERE,[Errno -2] Name or service not known,
Natural biofilms as high-tech conditioners for drinking water,http://www.bio.uva.nl/onderzoek/aot/eu/biofilms/,BIOFILMS,[Errno -2] Name or service not known,
Modelling ecological quality of urban rivers: ecotoxicological factors limiting restoration of fish populations.,http://www.biosciences.bham.ac.uk/labs/taylor/CITYFISH.htm,CITYFISH,301,http://www.birmingham.ac.uk/schools/biosciences/index.aspx
Composition of dissolved organic matter and its interaction with metals and ultraviolet radiation in river-ocean systems: impact on the microbial food web.,http://www.nioz.nl/projects/COMET,COMET,404,
Long-term performance of permeable reactive barriers used for the remediation of contaminated groundwater,http://www.perebar.bam.de/,PEREBAR,200,
Significance of external / anthropogenic nitrogen for central baltic sea n-cycling,http://www.io-warnemuende.de/projects/signal/index.html,SIGNAL,301,http://www2008.io-warnemuende.de/projects/signal/index.html
Sustainable urban tourism: involving local agents and partnerships for new forms of governance,http://sut.itas.fzk.de/,SUT-GOVERNANCE,[Errno -2] Name or service not known,
Sustainable urban transportation,http://www.ess.co.at/SUTRA/,SUTRA,200,
Development of high-performance fabrics based on industrial cold plasma technology,http://www.tut.fi/units/ms/teva/plasmafab,PLASMAFAB,302,https://www.tut.fi/hupsis/
Internet-site for european strong-motion data,http://www.isesd.cv.ic.ac.uk,ISESD,[Errno -2] Name or service not known,
"Urban development programme, urban governance, social inclusion and urban sustainability",http://www.ufsia.ac.be/ugis,UGIS,[Errno -2] Name or service not known,
Inspektoren - sustainable refurbishment europe,http://www.sureuro.com/,SUREURO,200,
Communicating urban growth and green: assessment of planning concepts and policy instruments for sustainable development of the urban landscape,http://www.greenscom.com,GREENSCOM,302,http://www.hugedomains.com/domain_profile.cfm?d=greenscom&e=com
