,projectUrl,foundProjectUrl1,MatchScore1,SameResource
0,http://www.familiesandsocieties.eu/,http://www.familiesandsocieties.eu/,100.0,1
1,http://www.hleg.de/,http://www.hleg.de/,100.0,1
2,http://www.notox-sb.eu/,http://notox-sb.eu/,100.0,1
3,http://www.hear-eu.eu/,http://ec.europa.eu/research/health/medical-research/severe-chronic-diseases/projects/hear-eu_en.html,0.0,
4,http://www.gamma-project.eu/,http://www.gamma-project.eu/,100.0,1
5,http://ncp-space.net/,http://www.helmholtz.de/forschung/helmholtz_international/europaeische_projekte/zusammenarbeit/weltraum/cosmos/,0.0,
6,http://www.hypoled.org/,http://www.hypoled.org/,100.0,1
7,http://www.genesys-platform.eu/,http://www.genesys-platform.eu/index.htm,,
8,http://www.foodmanufuture.eu/,http://www.foodmanufuture.eu/,91.0,1
9,http://www.hightecheurope.com/,http://www.agropolis.org/project-management/european-network-integrating-novel-technologies-food-processing-hightecheurope.php,0.0,
10,http://www.pleasure-fp7.com/,https://www.linkedin.com/groups?gid=4795510,0.0,
11,http://www.shockmeat.eu/about-shockmeat/general-information.html,http://www.shockmeat.eu/consortium/cluster-technology.html,54.0,1
12,http://www.recapt.org/,http://www.recapt.org/images/PDF/RECAPT%20article%20NEW%20FOOD.pdf,0.0,
13,http://www.tacmon.eu/new/,http://www.tacmon.eu/new/,100.0,1
14,http://www.eagle-fp7.eu/,http://www.eagle-fp7.eu/summary/,60.0,1
15,http://www.clico.org/,http://www.clico.org/,100.0,1
16,http://www.acrimas.eu/,https://www.iit.demokritos.gr/project/acrimas,0.0,
17,http://www.futurenanoneeds.eu/,http://www.futurenanoneeds.eu/,96.0,1
18,http://www.hi-fre.eu/,http://www.2020-horizon.com/HI-FRE-Efficient-membrane-filtration-units-with-integrated-High-Frequency-Backpulsing-device(HI-FRE)-s9120.html,0.0,
19,http://www.ms-monina.eu/home,http://www.ms-monina.eu/,72.0,1
20,http://tds-exposure.eu/,http://tds-exposure.eu/,100.0,1
21,http://www.theobelixproject.org/,http://theobelixproject.org/,50.0,1
22,http://www.e-hub.org/,http://e-hub.org/,100.0,1
23,http://www.gmes-isac.info/index.html,http://www.copernicus.eu/projects/isac,,
24,http://www.whey2food.eu/,http://www.whey2food.eu/,100.0,1
25,http://www.noshan.eu/index.php/en/,http://noshan.eu/docs/noshan5.pdf?phpMyAdmin=pT-EspEysyi1BSNE64IMuulvOmd,0.0,
26,http://www.nanovalid.eu/,http://www.nanovalid.eu/index.php/project,0.0,
27,http://www.bacchus-fp7.eu/,http://www.bacchus-fp7.eu/,100.0,1
28,http://www.naclim.eu/,http://www.sams.ac.uk/stuart-cunningham/naclim,0.0,
29,http://www.fp7-imagines.eu/,http://www.copernicus.eu/projects/imagines,0.0,
30,http://www.n2p-project.eu/,http://www.n2p-project.eu/,100.0,1
31,http://icatsem.u-bordeaux4.fr/,https://wzb.eu/en/research/completed-research-programs/economic-governance/institutional-changes-and-trajectories-of-socio-econo,0.0,
32,http://www.neujobs.eu/,http://www.case-research.eu/en/node/52580,0.0,
33,http://enacting-citizenship.eu/,http://www.enacting-citizenship.eu/,100.0,1
34,http://cupesse.eu/,http://www.cupesse.eu/,100.0,1
35,http://www.csr-impact.eu/,http://www.csr-impact.eu/,100.0,1
36,http://www.socialpolis.eu/,http://socialpolis.eu/,100.0,1
37,http://www.maxcap-project.eu/,http://www.polsoz.fu-berlin.de/en/polwiss/forschung/international/europa/forschung/laufende_dm_Forschungsprojekte/MAXCAP/index.html,0.0,
38,http://www.flows-eu.eu/,http://www.researchgate.net/profile/Lluis_Flaquer/publication/270581115_The_policy_framework_in_Terrassa/links/54aed0980cf2b48e8ed46384.pdf,0.0,
39,http://sybilla-t-cell.de/,http://sybilla-t-cell.de/,100.0,1
40,http://mywater-fp7.eu/,http://www.hydrologic.com/default.aspx?page=30,0.0,
41,http://www.small-project.eu/,http://www.small-project.eu/,100.0,1
42,http://www2.spi.pt/fahre/,http://www2.spi.pt/fahre/,100.0,1
43,http://bind.upatras.gr/,http://bind.upatras.gr/,100.0,1
44,http://www.wsan4cip.eu/,http://www.wsan4cip.eu/,100.0,1
45,http://www.tenlaw.uni-bremen.de/,http://www.tenlaw.uni-bremen.de/,100.0,1
46,http://www.thriverite.eu/,http://www.thriverite.eu/news,0.0,
47,http://www.isapack.eu/,http://www.itene.com/en/open-dissemination-projects/i/899/56/isa-pack,0.0,
48,http://www.biosonic-fp7.eu/,http://publications.rwth-aachen.de/record/205485,0.0,
49,http://www.ippaproject.eu/,http://www.ippaproject.eu/,100.0,1
50,http://www.discus-fp7.eu/,http://www.discus-fp7.eu/,94.0,1
51,http://www.uquam.eu/,http://www.uquam.eu/,100.0,1
52,http://flagship-project.eu/,https://www.nidi.knaw.nl/en/research/al/270025,0.0,
53,http://sungreen.ung.si/,http://sungreen.ung.si/about,74.0,1
54,http://www.greenlionproject.eu/homepage,http://www.greenlionproject.eu/upload/secciones-publicas/miguel-crespo-greenlion-brussels-111207_original.pdf,0.0,
55,http://briskeu.com/,http://briskeu.com/,100.0,1
56,http://www.cosmic-project.eu/,http://www.cosmic-project.eu/,90.0,1
57,http://www.hydra-space.eu/,http://www.hydra-space.eu/,100.0,1
58,http://www.alicerap.eu/,http://www.alicerap.eu/,99.0,1
59,http://www.epistop.eu/,https://clinicaltrials.gov/ct2/show/NCT02098759,0.0,
60,http://nors.aeronomie.be/,http://nors.aeronomie.be/,94.0,1
61,http://www.spacedatarouters.eu/,http://www.spacedatarouters.eu/,99.0,1
62,http://casceff.eu/en/Sidor/default.aspx,http://www.casceff.eu/,100.0,1
63,http://so2say.eu/,https://www.ilt.uni-bonn.de/research/upgrading/replacement-of-sulphur-dioxide-so2-in-food-keeping-the-same-quality-and-shelf-life-of-the-products-so2say?set_language=en,0.0,
64,http://www.performance-fp7.eu/,http://www.performance-fp7.eu/,100.0,1
65,http://www.preservewine.fraunhofer.eu/,http://www.preservewine.fraunhofer.eu/,100.0,1
66,http://espace.oma.be/,http://adsabs.harvard.edu/abs/2011epsc.conf.1833T,0.0,
67,http://www.arimnet.net/,http://www.arimnet.net/,100.0,1
68,http://www.grafol.eu/,http://www.graphenea.com/blogs/graphene-news/8017795-graphene-mass-production-roll-to-roll,0.0,
69,http://www.muprod.eu/,http://www.muprod.eu/,100.0,1
70,http://www.moveit-fp7.eu/,http://www.transport-research.info/project/modernisation-vessels-inland-waterway-freight-transport,0.0,
71,http://www.vtt.fi/sites/recover/en,http://www.copernicus.eu/projects/recover,0.0,
72,http://www.erare.eu/,http://www.erare.eu/,100.0,1
73,http://www.somabat.eu/,http://www.springer.com/cda/content/document/cda_downloaddocument/9783319127057-c2.pdf?SGWID=0-0-45-1491994-p177051544,0.0,
74,http://ermitage.cs.man.ac.uk/,http://ermitage.cs.man.ac.uk/sites/default/files/D7.1.pdf,0.0,
75,http://www.p2rotect-fp7.eu/,http://www.p2rotect-fp7.eu/documents/P2ROTECT_Newsletter-10.pdf,0.0,
76,http://webhotel2.tut.fi/fys/mordred/,http://webhotel2.tut.fi/fys/mordred/,100.0,1
77,http://www.polytubes.net/,http://www.2020-horizon.com/PASCOE-ENGINEERING-LIMITED-p18923g1.html,0.0,
