acronym,title,projectUrl
AMIGO,Amigo Ambient Intelligence for the networked home environment,0
GENRISK-T,Genetic component of the low dose risk of thyroid cancer,0
FLORA,Flavonoids and related phenolics for healthy Living using Orally Recommended Antioxidants,0
ENZYME MICROARRAYS,"Enzyme Microarrays-An integrated technology for the deconvolution of complex biochemical systems, drug discovery and diagnostics",0
CRYSTAL CLEAR,"Crystalline Silicon PV: Low-cost, highly efficient and reliable modules (CRYSTAL CLEAR)",0
CARBOOCEAN,Marine carbon sources and sinks assessment,0
EUROPRAXIS,Intensive training course for the development of skills necessary for the succesful participation in Sixth Framework Programme,0
SLOVAK FP6,THE SUPPORT FOR PARTICIPATION OF SLOVAK INSTITUTIONS IN FP6,0
RODI,Romanian Research and Innovation Days,0
B_BICE,Brazilian Bureau for Enhancing the International Cooperation with Europe,0
CESCER,Enhancing the Comparative Research Capacity of the CES,0
CALTER,LONG TERM ECOLOGICAL RESEARCH PROGRAM FOR MONITORING AEOLIAN SOIL EROSION IN CENTRAL ASIA,0
REEFRES,Developing ubiquitous restoration practices for Indo-Pacific reefs,0
MINAEAST-NET,Micro and Nanotechnologies going to Eastern Europe through Networking,0
SINREM,Synchronizing Information for Local-National Participatory Natural Resources management,0
UNIVEMP-LAM,Strengthening of the link University - Industry in Latin America and its cooperation with the EU,0
ENPRODUS,Development of an Operational Plan for Environmental Protection from Industrial Dusts in Russia and other NIS,0
GRAZSAFE,Development of dairy and dual-purpose grazing systems in Latin-America through safer and higher quality food chains,0
PREWARC,STRATEGIC PLAN FOR PREVENTION OF REGIONAL WATER RESOURCES CONTAMINATION FROM MINING AND METALLURGICAL INDUSTRIES IN WESTERN BALKAN COUNTRIES,0
WUEMED,Improving water use efficiency in Mediterranean agriculture : what limits the adoptin of new technologies?,0
INCOFISH,Integrating Multiple Demands on Coastal Zones with Emphasis on Aquatic Ecosystems and Fisheries,0
ATU,American Trypanosomiasis Update,0
AFNET,"Improving health system organisation in West Africa, through promotion of health policy development based on a network of action-researches leaded by National Public Health Schools",0
INGEDI,Integration of gender dimension in water management in the Mediterranean,0
GENOMED-HEALTH,HEALTH OF POPULATIONS IN THE MEDITERRANEAN IN THE POST-GENOMIC ERA,0
INSWAM-AL,INTEGRATED INDUSTRIAL SOLID WASTE MANAGEMENT IN ALBANIA,0
EMCO,"Reduction of environmental risks, posed by Emerging Contaminants, through advanced treatment of municipal and industrial wastes",0
TRABOREMA,"Concepts for integrated transboundary water management and sustainable socio-economic development in the cross border region of Albania, Former Yugoslav Republic of Macedonia (FYROM) and Greece",0
WWW.BRIGHTER.EU,World Wide Welfare: high BRIGHTness semiconductor lasERs for gEneric Use,0
IWARD,"Intelligent robot swarm for attendance, recognition, cleaning and delivery",0
EU4ALL,European unified approach for accessible lifelong learning,0
FIT,Fostering self-adaptive e-government service improvement using semantic technologies,0
PANLAB,Pan European laboratory for next generation networks and services,0
INTERLINK,International Cooperation activities in future and emerging ICTs,0
SIMILAR,The European research taskforce creating human-machine interfaces SIMILAR to human-human communication,0
MoveON,Multi-modal and multi-sensor zero-distraction interaction interface for two wheel vehicles ON the move,0
INHOME,An Intelligent Interactive Services Environment for Assisted Living at Home,0
URANUS,UNIVERSAL RADIO-LINK PLATFORM FOR EFFICIENT USER-CENTRIC ACC,0
DFA@EINCLUSION,Design for all for eInclusion,0
LD-CAST,Local development cooperation actions enabled by semantic technology,0
PHOSPHORUS,Lambda user controlled Infrastructure for European Research,0
OneStopGov,A life-event oriented framework and platform for one-stop government,0
CARE,Coordination actions for robotics in Europe,0
PERSONA,Perceptive spaces promoting independent aging,0
X_Media,Knowledge Sharing and Reuse Across Media,0
GeoPKDD,Geographic Privacy-aware Knowledge Discovery and Delivery,0
WAI-AGE,Web accessibility initiative: ageing education and harmonisation,0
ALIS,Automated legal intelligent System,0
PRUSSIAN BLUE,Multifunctional molecular switches based on Prussian Blue analogues,0
ASTRA,Awareness services and systems-towards theory and realisation,0
MUSE,Multi Service Access Everywhere,0
Health-e-Child,Health-e-Child,0
PROLIX,Process-oriented Learning and Information eXchange,0
SHARE,Supporting and structuring HealthGrid activities & research in Europe: developing a roadmap,0
MOICCO,Modelling and characterisation of IC components for complicated system-on-a-chip applications including RF and analog functions,0
EXPRES,EXPReS: a production astronomy e-VLBI infrastructure,0
SAFIR,Speech Automatic Friendly Interface Research 2 any devices and transactions,0
CALLAS,Conveying Affectiveness in Leading-edge Living Adaptive Systems,0
TRANDSSAT,Total realization of analogue and digital systems on silicon for ambient technology,0
BenToWeb,Benchmarking Tools for the Web,0
WAPITI,Waferbonding and Active Passive Integration Technology and Implementation,0
DIANA,Predictive diagnostics for diabetic nephropathy (DiaNa) - novel nanotechnology based test platforms,0
SAPHIRE,Intelligent Healthcare Monitoring based on a Semantic Interoperability Platform,0
SWEB,"Secure, interoperable, cross border m-services contributing towards a trustful European cooperation with the non-EU member Western Balkan countries",0
NARTUS,European Platform and Roadmap for Future Public Safety Communication,0
GRIDCC,GRID ENABLED REMOTE INSTRUMENTATION WITH DISTRIBUTED CONTROL AND COMPUTATION,0
NANDOS,Nanophotonic and Nanoelectronic Devices from Oxide Semiconductors,0
RACWEB,Risk assessment for customs in Western Balkans,0
PICMOS,Photonic Interconnect Layer on CMOS by Wafer-Scale Integration,0
ASPI,Audiovisual to Articulatory Speech Inversion,0
ACROBOTER,Autonomous Collaborative Robots to Swing and Work in Everyday Environment,0
NI-HAO,National IST Chinese contact point,0
wearIT@work,Empowering the mobile worker by wearable computing,0
MODUL,Molecular diagnostics using lab-on-a-Chip,0
ROSTA,Robot standards and reference architectures,0
EMERGE,Emergency Monitoring and Prevention,0
HUMAINE,HUMAN-MACHINE INTERACTION NETWORK ON EMOTION,0
QOSCOSGRID,Quasi-opportunistic supercomputing for complex systems in Grid Environments,0
AGAVE,A liGhtweight Approach for Viable End-to-end IP-based QoS Services,0
ULTRA,Ultra portable augmented reality for industrial maintenance applications,0
NET-ReFOUND,NETWORK RESEARCH FOUNDATIONS,0
BALTICGRID,Baltic Grid,0
EGEE-II,Enabling Grids for E-sciencE-II,0
NEMOSLAB,Nano-engineered monolithic Optoelectronic transducers for highly sensitive and label-free biosensing,0
MEDITRANS,Targeted delivery of nanomedicine,0
IWEBCARE,Integrated Web Services Platform for the facilitation of fraud detection in health care e-government services,0
ESTRELLA,European project for standardized transparent representations in order to extend legal accessibility,0
ICT for ALL,The social impacts of ICT and their limited reach to potentially- excluded communities. Measuring the problem and undertaking initiatives for its effective mitigation,0
CASPAR,"Cultural, Artistic and Scientific knowledge Preservation, for Access and Retrieval",0
MWEB,Multimodal Web Interaction,0
LOBSTER,Large Scale Monitoring of Broadband Internet Infrastructure,0
VIDI-Video,Interactive semantic video search with a large thesaurus of machine-learned audio-visual concepts,0
PULLNANO,PULLing the limits of NANOCmos electronics,0
mDrones,Micro DRone autOnomous Navigation for Environment Sensing,0
NOESIS,Platform for wide scale integration and visual representation of medical intelligence,0
DEMO_NET,The democracy network,0
