title,projectUrl,acronym,return_code,redirect_url
European food information resource network,http://www.eurofir.net/,EUROFIR,302.0,http://www.eurofir.org/
Global allergy and asthma european network,http://www.ga2len.net,GA²LEN,200.0,
Advanced Protection Systems (APROSYS),http://www.aprosys.com/,APROSYS,500.0,
Multi-functional carbon nanotubes for biomedical applications,http://www.carbio.eu,CARBIO,200.0,
Healthy Lifestyle in Europe by Nutrition in Adolescence,http://www.helenastudy.com,HELENA,200.0,
Nano-Photonics Materials and Technologies for Multicolor High-Power Sources,http://www.orc.tut.fi/natal.html,NATAL,404.0,
Wide INtegrated technologies Dissemination,http://www.projects.ex.ac.uk/imst2002/wind%20introduction.htm,WIND,404.0,
Transparent Ring Interconnection Using Multiwavelngth PHotonic switches,http://www.ihq.uni-karlsruhe.de/research/projects/TRIUMPH/,TRIUMPH,[Errno -2] Name or service not known,
Versatile Endoscopic Capsule for Gastrointestinal Tumor Recognition and Therapy,http://www.vector-project.com/,VECTOR,200,
Forum for Integrated Infrastructures Initiatives,http://www.sgo.fi/lapbiat/,I3 FORUM,200,
Organization of the Conference EURONANOFORUM 2007 - Nanotechnology in Industrial Applications,http://www.euronanoforum2007.eu/,ENF 2007,200,
EuroNanoForum2005 - 'Nanotechnology and the Health of the EU Citizen in 2020',http://www.euronanoforum2005.org/,ENF2005,403,
EuroNanoForum 2003,http://www.mvpei.hr/ei/default.asp?gl=200303190000005,ENF 2003,404,
Designing advanced interfaces for the delivery and administration of location independent optimised personal services,http://www.ist-daidalos.org/,DAIDALOS,timed out,
"Advanced sensor development for attention, stress, vigilance and sleep/wakefulness monitoring",http://www.gospel-network.org,SENSATION,301,https://www.gospel-network.org/index.php?id=gssmo130
Self-adaptive embedded technologies for pervasive computing architectures,http://www.aether-ist.org/,AETHER,200,
Development of multifunctional microprobe arrays for cerebral applications,http://naranja.umh.es/~np/,NEUROPROBES,[Errno -2] Name or service not known,
Visualize all model driven programming,http://www.vide-ist.eu/index.html,VIDE,200,
An intelligent guide to support productive online dialogue,http://www.argunaut.org,ARGUNAUT,200,
Deep Vein Thrombosis - Impedimetric Microanalysis System,http://www.diagnosingdvt.com/,DVT-IMP,200,
Scalable Computer Architecture,http://www.sarc-ip.org/,SARC,200,
Representing mathematics with digital media,http://remath.cti.gr/,RE.MATH,301,https://remath.cti.gr/
Development of an Implantable bio-sensor for continuous care and monitoring or diabetic patients,http://www.improtech.co.uk/pcezanne/portal/,P.CEZANNE,404,
Bootstrapping ontology evolution with multimedia information extraction,http://www.boemie.org/,BOEMIE,200,
"ever-growing global scale-free networks, their provisioning, repair and unique functions",http://www.evergrow.org,EVERGROW,403,
Optical Networks: towards bandwidth manageability and cost efficiency,http://www.e-photon-one.org/,E-PHOTON/ONE+,[Errno -2] Name or service not known,
E2R II,http://www.e2r.motlabs.com,E2R II,[Errno -2] Name or service not known,
Multilingual/Multimedia access to cultural heritage,http://www.multimatch.eu/,MULTIMATCH,200,
Games at large,http://www.gamesatlarge.eu/,GAMES@LARGE,timed out,
Contactless sensors for body monitoring incorporated in textiles,http://www.context-project.org,CONTEXT,200,
"Finance, logistics and production integration domain by Web-based interaction Network",http://www.fluid-win.de/,FLUID-WIN,403,
GRid enabled access to rich mEDIA content,http://www.gredia.eu,GREDIA,302,http://www.gredia.eu/?Page=home
Integrated risk reduction of information-based Infrastructure Systems (IRRIIS),http://www.irriis.org,IRRIIS,200,
My personal adaptive Global NET and beyond,http://www.ist-magnet.org/,MAGNET BEYOND,[Errno -2] Name or service not known,
