,title,projectUrl,acronym
843,Generic upgradable architectures for real-time dependable systems,http://www.cs.york.ac.uk/~ljerka/guards.html,GUARDS
844,Architectural reasoning for embedded software,http://www.infosys.tuwien.ac.at/Projects/ARES,ARES
846,Temporal object oriented databases within information systems,http://www.di.uoa.gr/~toobis,TOOBIS
850,Emerging software technologies for trading and fund management risk rewards solutions,http://www.aber.ac.uk/interpol,ESTIMATION
851,Use of the expert system platform REAKT for transport robot guidance,http://www.roberta-home.eu/,RETRARO
855,Application of real time specification,http://www.cert.fr/francais/deri/seguin/ARTS/page.html,ARTS
856,Workflow on intelligent distributed database environment,http://www.sema.es/projects/WIDE,WIDE
861,Enhancement of electronic system design by EMC adviser system,http://www.ucl.ac.uk/mariecuriesocanth,FP5-EESD
866,Trial applications of case based reasoning for customer support,http://www.uclouvain.be/en-43617.html,APPLICUS
869,Design for validation,http://www.newcastle.research.ec.org/deva/index.html,DEVA
870,A cluster of trial applications using the RSAL tool to build reusable code repositories in order to support efficient software development,http://www.lii.unitn.it/TARSAL,TARSAL
871,Speech recognition algorithms for connectionist hybrids,http://tcts.fpms.ac.be/sprach/sprach.html,SPRACH
872,Cases acquisition and reply in fire campaigns ambience,http://mnemosyne.itc.it:1024:avesani/html/carica.html,CARICA
874,Raster data management in databases,http://www.forwiss.tu-muenchen.de/~rasdaman/,RASDAMAN
876,Image processing for automatic cartographic tools,http://www.esat.kuleuven.ac.be/mi2/projects.html,IMPACT
877,Nanolithography using chemically amplified resists,http://www.ebl.rl.ac.uk/esprit/nancar.html,NANCAR
878,Algorithms and complexity in information technology,http://www.dis.uniroma1.it/alcom-it,ALCOM IT
879,Non-linear model-based analysis and description of images for multimedia applications,http://www.ti1.tu-harburg.de/~noblesse,NOBLESSE
880,Process industries diagnostic experiments,http://www.solar.uni-kassel.de/solnet,PRIDE
884,An integrated programming environment for parallel sparse matrix solvers,http://www.pallas.de/pages/partners.htm#Projects,PARASOL
887,An authoring environment for adaptive multimedia documents,http://www.cwi.nl/Chameleon,CHAMELEON
888,Veniva - venetian virtual archives,http://web.tin.it/marsilio/veniva/,VENIVA
893,Inter-university dissemination project of Omi,http://www.ieec.uned.es/,IUN 2
898,Interactive networked kiosks,http://www.archetypon.gr/ink,INK
900,Methodology and tools for multimedia documentation and electronic catalogues,http://www.metodoc.com/,METODOC
901,Motorcycles rider simulator,http://www.hh.se/dep/cca/research/moris/,MORIS
905,A hypermedia platform combining an organisational framework and a methodology for the exploitation and promotion of tourism in Europe of 2000,http://www.albanet.co.uk/hyper.html,HYPERTOUR
906,Advanced multimedia authoring system with AV optimised removable storage,http://www.ndmack.demon.co.uk/amas.htm,AMAS
907,Computer aided theatrical score,http://www.pisa.intecs.it/projects/CATS/,CATS
908,Distributed multimedia-archives for co-operative TV-production,http://www.foyer.de/euromedia/index.html,EUROMEDIA
910,Marble industry advertising over the world,http://www.pisa.intecs.it/projects/miaow/,MIAOW
912,Porting the EOS RTOs on the arm thumb architecture,http://www.plantscafe.net/,OMI/THEOS
914,Intellectual multimedia property rights model and terminology for universal reference,http://www.imprimatur.alcs.co.uk,IMPRIMATUR
916,Co-ordinating project for electronic authors right management systems,http://www.ifla.org/copearms,COPEARMS
918,Energy and communications user services (multimedia) field trials of developed home systems to European hs (EHS) protocols and specifications,http://www.fen.bris.ac.uk/elec/ETHOS/Ethos.htm,ETHOS
920,Application specific processor and instruction set,http://www.intranet.gr,ASPIS
924,Cited based multimedia IPR management on cost-effective smart device,http://www.arttic.com/projects/Copysmart/,COPYSMART
926,A market place for textile images and patterns,http://tissus.cpr.it/,TISSUS
928,Multimedia interactive leading life-giving initiative on net,http://www.omega.it/million,MILLION
942,VIRTUAL REALITY ENVIRONMENTS FOR PSYCHO-NEURO-PHYSIOLOGICAL ASSESSMENT AND REHABILITATION,http://www.ehto.be/ht_projects/vrepar/,VREPAR
945,Enhanced Telematics for the Elderly and Disabled,http://www.stakes.fi/include/,INCLUDE
946,CONSENSUS AND COORDINATION IN TA RESULTS EXPLOITATION PROJECT,http://www.etic.be/concordia/index.html,CONCORD 2
947,AWARENESS OF EUROPEAN SOLUTIONS AND BEST PRACTICES FOR TELEMATICS APPLICATIONS,http://nt3.fundesco.es/aesopian/,AESOPIAN
949,FUTURE LINES OF USER INTERFACE DECISION SUPPORT,http://www.dfki.de/fluids/,FLUIDS
950,METHODS AND GUIDELINES FOR THE ASSESSMENT OF TELEMATICS APPLICATIONS QUALITY,http://www.megataq.mcg.gla.ac.uk/ or http://arti.vub.ac.be/www/geomed/geomed.html,MEGATAQ
951,MODELS OF INDUSTRIAL RELATIONS IN TELEWORK INNOVATION,http://www.iess-ae.it/mirti/english/mirti.htm,MIRTI
953,EUROPEAN CHART HUB OPERATIONS,http://www.statkart.no/ecc/frecho.htm,ECHO
956,INTEGRATING WATERBORNE TRANSPORT IN THE LOGISTICS CHAIN,http://www.mot.chalmers.se/inst/tfk/ip_home.htm,INTERPORT
962,TELEMATIC STANDARDS AND COORDINATION OF ATT SYSTEMS IN RELATION TO ELDERLY AND DISABLED TRAVELLERS,http://hermes.civil.auth.gr/telscan/telsc.html,TELSCAN
963,INTEROPERABLE TOOLS FOR COOPERATION SUPPORT USING THE WORLD-WIDE WEB,http://orgwis.gmd.de/projects/COOPWWW/,COOPWWW
973,Measuring and modelling the dynamic response of remote mountain lake ecosystems to environmental change. A programme of mountain lake research,http://www.natur.cuni.cz/hydrobiology/molar/,MOLAR
978,Detecting and locating non-aqueaous phase contaminants in soils by three geophysical methods,http://www.forthnet.gr/imag-arts/english/geolFrame1.htm,
979,Vertical Ozone Transports in the Alps,http://www.boku.ac.at/imp/votalp/,VOTALP
1018,Procedural Operationalisation of Techniques for the functional anal ysis Of European Wetland ecosystems,http://www.vms.rhbnc.ac.uk:8080/~uhfa060/PROTOWET.HTM,PROTOWET
1027,Groundwater and river resources action programme on a European Scale,http://www.nerc-wallingford.ac.uk/ih/www/research/bgrapes.html,GRAPES
1080,The role of buffering capacities in stabilising coastal lagoon ecosystems.,http://www.cribx1.u-bordeaux.fr/ub1/UFR_terremer/epoc/Robust/default.html,ROBUST
1081,"Biogeochemistry of an acidic and metal-rich river-estuary system, consequences for atlantic shelf waters",http://carpanta.ugr.es/toros.html,TOROS
1087,"Diagnostic Ecotoxicology: cell-based methodology to develop markers for early, sublethal effects assessment",http://www.abdn.ac.uk/~nhi691/ecotox/title.htm,
1090,Environmental cycling of selected persistent organic pollutants (POPs) in the Baltic region.,http://www.nilu.no/projects/baltic/,POPCYCLING-BALTIC
1162,New X-Ray Imaging Sensors,http://www.regam.se,
1186,Help at distance the SMEs in the development of their environmental management,http://www.ictnet.es/ecomanagement/,ECOMANAGEMENT
1190,PUBLISHERS ON INFORMATION HIGHWAYS,http://www.diff.uni-tuebingen.de/pollen/,POLLEN
1192,Multimedia Teacher Training Network,http://weblife.bangor.ac.uk/rem/rem.html,REM
1194,X.500 PILOT DIRECTORY SERVICE FOR ADMINISTRATIONS IN EUROPE,http://www.materna.de/,EUROVIEW
1195,"GLOBAL RETRIEVAL, ACCESS AND INFORMATION SYSTEM FOR PROPERTY ITEMS",http://www.arttic.com/grasp,GRASP
1199,Ecological and environmental monitoring and simulation system for management decision support in urban areas,http://www.ess.co.at/ecosim,ECOSIM
1200,Environmental Management Architecture for Information Delivery,http://prato2.ing.unifi.it/email,E-MAIL
1201,Distributed Environmental Disaster Information and Control System,http://www.dedics.aueb.gr,DEDICS
1203,Application Research & Testing for Emergency Management Intelligent Systems,http://www.netmode.ntua.gr/artemis/,ARTEMIS
1206,Linking system designers and cad developers in Europe,http://set.gmd.de/SYSLINK,SYSLINK
1233,MULTIMEDIA ASSETS FOR INDUSTRIAL DESIGN,http://194.80.29.2/cite/index.html,MAID
1235,DEVELOPMENT OF A MULTIMEDIA INFORMATION TRANSACTION AND DISSEMINATION TOOL,http://twentyone.tpd.tno.nl,TWENTY-ONE
1236,Testing Systems using Telematics for Library Access for Blind and Visually Handicapped Readers,http://www.svb.nl/project/testlab/testlab.htm,TESTLAB
1238,MUSEUMS & GALLERIES NEW TECHNOLOGY STUDY,http://www.brameur.co.uk/vasari/magnets/,MAGNETS
1240,Transnational Environmental Management Support and Information System,http://www-temsis.dfki.uni-sb.de/,TEMSIS
1241,Sustainable Telematics for Environmental Management,http://www.cogsci.ed.ac.uk/~stem,STEM
1243,Regional Environmental Management Support System Based on Telematics,http://www.metor.gr/remssbot/,REMSSBOT
1244,Public environmental information services for European cities,http://www.envirocity.com,ENVIROCITY
1245,COURSEWARE AUTHORING FOR SCIENTIFIC TRAINING,http://coast.selisa.fr:9010/,COAST
1247,BLUEPRINT FOR INTERACTIVE CLASSROOMS,http://avc.ucd.ie/BIC/,BIC
1248,ALLIANCE OF REMOTE INSTRUCTIONAL AUTHORING & DEVELOPMENT NETWORKS FOR EUROPE,http://ariadne.unil.ch/,ARIADNE
1249,RESEARCH INSTITUTIONS FOR DEVELOPMENT OF USER FRIENDLY APPLICATIONS IN TELEMATICS,http://aquarius.euro.org/,AQUARIUS
1256,EUROPEAN HEALTH TELEMATICS OBSERVATORY,http://www.ehto.be/,EHTO
1260,MULTIMEDIA EUROPEAN RESEARCH CONFERENCING INTEGRATION,http://www-mice.cs.ucl.ac.uk/mice/merci/,MERCI
1261,MULTIMEDIA AND NETWORK IN CO-OPERATIVE RESEARCH AND LEARNING,http://www-geomatics.tu-graz.ac.at/manicoral/,MANICORAL
1262,INTERWORKING PUBLIC KEY CERTIFICATION INFRASTRUCTURE FOR EUROPE,http://www.darmstadt.gmd.de/ice-tel/,ICE-TEL
1263,DEVELOPMENT OF A EUROPEAN SERVICE FOR INFORMATION ON RESEARCH AND EDUCATION,http://www.surfnet.nl/surfnet/projects/desire/,DESIRE
1264,COLLABORATIVE BROWSING IN INFORMATION RESOURCES,http://www.tik.ee.ethz.ch/~cobrow/,COBROW
1265,ADDED VALUE INFORMATION SERVICES ON EUROPEAN RESEARCH RESULTS,http://adviser.tno.it/adviser/,ADVISER
1266,"TRANSFER OF KNOWLEDGE BETWEEN RESEARCH, EDUCATION, BUSINESS AND PUBLIC ADMINISTRATIONS THROUGH WORLD WIDE WEB EXTENDED FOR GROUP COMMUNICATION",http://web4groups.at:9000/home?,WEB 4 GROUPS
1267,REMOTE EXPERIMENT MONITORING AND CONTROL,http://www.laeff.esa.es/~tcpsi/,REMOT
1269,TELEMATICS EMPLOYMENT ENGINE,http://www.telejobs.org/,TEMPLE
1277,INTEGRATION SYSTEM ARCHITECTURE - TELEMATICS,http://www.univ-lille2.fr/isart/,ISAR-T
1279,TRAINING EDUCATORS THROUGH NETWORKS AND DISTRIBUTED SYSTEMS,http://www.lrf.gr/english/trends/trendshome.html,TRENDS
1280,TO OPTIMIZE THE INVIDUAL LEARNING PROCESS OF OCCUPATIONAL TRAVELLERS,http://edm-topilot.luc.ac.be/,TOPILOT
1281,TRANS-EUROPEAN TELE-EDUCATION NETWORK,http://www.fundesco.es/ten,TEN
1282,SERVICE FOR INTEGRATED VIRTUAL ENVIRONMENTS,http://www.to.utwente.nl/servive/public/home.htm,SERVIVE
1283,SAFETY CRITICAL INDUSTRIES WORKPLACE LEARNING TELEMATIC NETWORK,http://www.marintek.sintef.no/snet,SAFETY-NET
1291,SEMINARS FOR TRAINING SMES IN THE USE OF TELEMATICS,http://www.eurocom.gr/EurPrj/transmete/transmete/,TRANSMETE
1293,TELEMATICS FOR TEACHER TRAINING,http://telematics.ex.ac.uk/T3/,T3
1298,VALIDATION OF DEDICATED SHORT-RANGE COMMUNICATIONS,http://www.comnets.rwth-aachen.de/~vasco/,VASCO
1299,"VEHICLE ATT DEMONSTRATIONS, EVALUATION AND MONITORING ON A EUROPEAN CORRIDOR UNITING MEMBER STATES",http://www.umist.ac.uk/UMIST_CIVENG/VADE_MECUM/,VADE MECUM
1301,EUROVILLAGE ON THE EUROPEAN INFORMATION INFRASTRUCTURE,http://www.sycomore.fr/evenet/,EVENET
1302,EXTENDING QUALITY URBAN SERVICE FOR ADDED-VALUE LIVING USING INTERACTIVE TELEMATIC SYSTEMS,http://www.denhaag.nl/equality/,EQUALITY
1313,RAILWAY OPEN SYSTEM INTERCONNECTION NETWORK,http://www.cnc.it/rosin/,ROSIN
1343,EUROPEAN TRADE UNION EDUCATION NETWORK,http://www.etuenet.org/,ETUE-NET
1344,EUROPEAN TELEMATICS HORIZONTAL OBSERVATORY SERVICE,http://www.ethoseurope.org/,ETHOS
1346,TELESERVICES FOR SMALL AND MEDIUM-SIZED ORGANISATIONS : A NETWORK OF NETWORKS,http://www.agora.org,AGORA
1369,DIABCARE QUALITY NETWORK IN EUROPE,http://www.diabcare.de/,DIABCARE Q-NET
1371,IMPLEMENTING SECURE HEALTHCARE TELEMATICS APPLICATIONS IN EUROPE,http://ted.see.plym.ac.uk/ishtar/,ISHTAR
1372,MULTIMEDIA OPTIMISATION AND DEMONSTRATION FOR EDUCATION IN MICROELECTRONICS,http://nmrc.ucc.ie/modem,MODEM
1373,LEARNING AND INFORMATION SUPPORT NETWORKS IN EUROPE FOR SOCRATES,http://lines.uwic.ac.uk,LINES
1374,KNOWLEDGE ASSURANCE IN MULTIMEDIA PUBLISHING,http://kamp.linst.ac.uk,KAMP
1375,INTEGRATION OF DEDICATED FOR ADVANCED TRAINING LINKED TO SMALL AND MEDIUM ENTERPRISES AND INSTITUTES OF HIGHER EDUCATION,http://ideals.zgdv.de,IDEALS
1376,"ELECTRONIC LEARNING ENVIRONMENT FOR CONTINUAL TRAINING AND RESEARCH IN ALMA (AACHEN, LIEGE, MAASTRICHT AND DIEPENBEEK/HASSELT)",http://www.unimaas.nl/~electra,ELECTRA
1377,EUROPEAN EDUCATIONAL TELEPORTS,http://www.trainet.it/home/uk/eetp/,EETP
1379,MULTIMEDIA INTERACTION WITH REGIONAL AND TRANSNATIONAL ORGANISATIONS,http://www.roma.otm.it,MIRTO
1383,EUROPEAN BUSINESS REGISTER PHASE 2,http://www.ebr.org/,EBR II
1385,Environmental Monitoring Warning & Emergency System,http://www.impetus.gr/envisys.htm,ENVISYS
1389,HEALTHCARE ADVANCED NETWORKED SYSTEM ARCHITECTURE,http://www.effedue.com/hansa/,HANSA
1395,TRAINING NETWORK FOR THE EUROPEAN CAR INDUSTRY,http://tecar.condat.de,TECAR
1397,JOINT ATM EXPERIMENT ON EUROPEAN SERVICES,http://www.labs.bt.com/profsoc/james/,JAMES-RN
1398,TRANS-EUROPEAN NETWORK INTERCONNECT AT 34 MBPS,http://193.63.211.20/ten-34.html,TEN-34
1399,SUPPORT FOR TELEMATICS APPLICATIONS COOPERATION WITH THE COMMONWEALTH OF INDEPENDENT STATES,http://www.ednes.org/staccis/,STACCIS
1400,SUPPORT FOR THE USE OF PRESENTLY UNSERVED AIRSPACE,http://www.ceselsa.es/supra/,SUPRA
1403,Comparative analysis of food webs based on flow networks: Effects of nutrient supply on structure and function of coastal plankton communities,http://www.maricult.org/public/comweb/,COMWEB
1404,Physical Forcing and Biogeochemical Fluxes in Shallow Coastal Ecosystems,http://www.nioo.knaw.nl/cemo/phase/phase.htm,PHASE
1405,Ocean Margin EXchange II - Phase I,http://www.nbi.ac.uk/bodc/omex.html,OMEX II
1407,Nitrogen Cycling in Estuaries,http://www.dmu.dk/lakeandestuarineecology/NICE/,NICE
1408,Changes in Bacterial Diversity and Activity in Mediterranean Coastal Waters as Affected by Eutrophication,http://www.gbf-braunschweig.de/DSMZ/Chabada/Chabada.html,CHABADA
1412,VALIDATION OF THE BIOTECHNOLOGICAL PROCESS AND PRODUCTION OF A FIRST LOT OF SAMPLES FOR CLINICAL TRIALS,http://www.medac.de,KINASE
1417,INTERREGIONAL PLAN FOR THE VALORIZATION OF SLUDGES ORIGINATED BY WASTEWATER TREATMENT IN THE SAAR-LOR-LUX-REGION USING QUALIFIED COMPOST,http://siden@pt.lu,SOIL-CONCEPT
1419,DEMONSTRATION OF ECONOMIC AND RELIABLE MANUFACTURING PROCESSES FOR MULTICHIP MODULES USING INNOVATIVE COFIRING CERAMICS,http://www.siegert.de,DECCO
1420,Computational tools and industrial applications of complexity,http://solvayins.ulb.ac.be/,CTIAC
